strategy,base_strategy,hold_period,label_mode,group_key,train_date,use_date,source_run,inference_dir,cash_filter_pass,pick_count
mon_wed_h1,mon_wed,1,market_excess,2025-W48-mon_tue,2025-11-25,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251125,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251125,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-mon_tue,2025-11-25,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251125,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251125,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W48-mon_tue,2025-11-25,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251125,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251125,False,0
mon_wed_h5,mon_wed,5,market_excess,2025-W48-mon_tue,2025-11-25,2025-11-25,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251125,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251125,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-26,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251126,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-27,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251126_20251127,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-28,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251126_20251128,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-26,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251126,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-27,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h2\20260629_223244_mon_wed_h2_infer_20251126_20251127,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-28,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h2\20260629_223244_mon_wed_h2_infer_20251126_20251128,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-26,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251126,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-27,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h3\20260629_223244_mon_wed_h3_infer_20251126_20251127,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-28,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h3\20260629_223244_mon_wed_h3_infer_20251126_20251128,False,0
mon_wed_h5,mon_wed,5,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-26,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251126,False,0
mon_wed_h5,mon_wed,5,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-27,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251126_20251127,False,0
mon_wed_h5,mon_wed,5,market_excess,2025-W48-wed_fri,2025-11-26,2025-11-28,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251126,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251126_20251128,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-01,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251201,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-02,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251201_20251202,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-01,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251201,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-02,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h2\20260629_223244_mon_wed_h2_infer_20251201_20251202,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-01,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251201,False,0
mon_wed_h3,mon_wed,3,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-02,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h3\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h3\20260629_223244_mon_wed_h3_infer_20251201_20251202,False,0
mon_wed_h5,mon_wed,5,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-01,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,True,3
mon_wed_h5,mon_wed,5,market_excess,2025-W49-mon_tue,2025-12-01,2025-12-02,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h5\train_20251201,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h5\20260629_223244_mon_wed_h5_infer_20251201_20251202,True,3
mon_wed_h1,mon_wed,1,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-03,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251203,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-04,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251203_20251204,False,0
mon_wed_h1,mon_wed,1,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-05,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h1\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h1\20260629_223244_mon_wed_h1_infer_20251203_20251205,True,3
mon_wed_h2,mon_wed,2,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-03,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251203,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-04,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h2\20260629_223244_mon_wed_h2_infer_20251203_20251204,False,0
mon_wed_h2,mon_wed,2,market_excess,2025-W49-wed_fri,2025-12-03,2025-12-05,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\runs\market_excess_h2\train_20251203,D:\PyCharm 2025.3.3\projects\Quantitative Trading\outputs\retrain_backtest\excess_cash_h1235_20260629\inference_runs\mon_wed_h2\20260629_223244_mon_wed_h2_infer_20251203_20251205,False,0
